NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	194	-0.3808356	-1.642525	0.0	0.0043645436	0.071	2612	tags=32%, list=16%, signal=38%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.37518775	-1.6313102	0.0	0.005023543	0.085	3988	tags=33%, list=25%, signal=44%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	195	-0.37430167	-1.6149672	0.0023781213	0.0058439244	0.103	3835	tags=41%, list=24%, signal=53%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	35	-0.48669115	-1.6048973	0.02431611	0.006214816	0.115	2443	tags=34%, list=15%, signal=40%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		38	-0.45907283	-1.5377501	0.01832061	0.013377661	0.249	3415	tags=45%, list=22%, signal=57%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		57	-0.40182522	-1.4725825	0.03857143	0.024440054	0.417	3998	tags=42%, list=25%, signal=56%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		53	-0.39880073	-1.4205508	0.040787622	0.038253658	0.571	5989	tags=62%, list=38%, signal=100%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		148	-0.33988848	-1.4175421	0.00875	0.037989188	0.58	5429	tags=41%, list=34%, signal=62%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		193	-0.3162158	-1.3676689	0.029342722	0.058340907	0.749	2357	tags=23%, list=15%, signal=26%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		104	-0.3376859	-1.3547654	0.051771116	0.062811576	0.79	3753	tags=35%, list=24%, signal=45%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		199	-0.31217855	-1.3475877	0.028537456	0.06407517	0.81	3158	tags=25%, list=20%, signal=31%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		192	-0.3089272	-1.3249866	0.037439615	0.07570866	0.879	2123	tags=24%, list=13%, signal=27%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		192	-0.3083866	-1.3216075	0.035756852	0.075772904	0.89	2344	tags=24%, list=15%, signal=28%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		71	-0.3439442	-1.2821348	0.101248264	0.10529986	0.962	2852	tags=31%, list=18%, signal=38%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		111	-0.30960846	-1.2432404	0.13606341	0.13934384	0.992	4035	tags=26%, list=25%, signal=35%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		41	-0.36141944	-1.2208555	0.18352601	0.16079903	0.997	1386	tags=24%, list=9%, signal=27%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	-0.34070867	-1.0977067	0.3255814	0.34749237	1.0	2315	tags=25%, list=15%, signal=29%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		98	-0.27467653	-1.0765808	0.3219448	0.37712815	1.0	3171	tags=26%, list=20%, signal=32%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		181	-0.24605815	-1.0519309	0.34686348	0.41511106	1.0	2963	tags=22%, list=19%, signal=26%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		183	-0.2402467	-1.0314827	0.41133896	0.44558057	1.0	2180	tags=20%, list=14%, signal=23%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		96	-0.2570415	-1.0116196	0.4606599	0.4745846	1.0	4138	tags=30%, list=26%, signal=41%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		49	-0.27885178	-0.9889789	0.46829972	0.5096045	1.0	3874	tags=27%, list=24%, signal=35%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		155	-0.22557148	-0.9566938	0.55150753	0.56669605	1.0	2788	tags=21%, list=18%, signal=26%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		181	-0.20851704	-0.88786364	0.7051745	0.69743454	1.0	2961	tags=18%, list=19%, signal=21%	
