NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	195	0.37430176	1.6141764	0.0	0.0058415025	0.101	3833	tags=41%, list=24%, signal=53%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	35	0.48669118	1.5927209	0.015151516	0.0067692585	0.124	2441	tags=34%, list=15%, signal=40%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		38	0.45907286	1.5195293	0.016871165	0.016001733	0.284	3413	tags=45%, list=22%, signal=57%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		57	0.40182525	1.4514915	0.03681885	0.029898457	0.484	3996	tags=42%, list=25%, signal=56%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		53	0.39880076	1.4361709	0.03256445	0.033822667	0.54	5987	tags=62%, list=38%, signal=100%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		148	0.33988827	1.4103283	0.020356234	0.041072335	0.618	5427	tags=41%, list=34%, signal=62%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		104	0.3376861	1.362291	0.050715216	0.06349492	0.783	3751	tags=35%, list=24%, signal=45%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		193	0.31621635	1.3487442	0.026862027	0.068965785	0.824	2355	tags=23%, list=15%, signal=26%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		199	0.31217843	1.3436724	0.03415783	0.06910101	0.844	3156	tags=25%, list=20%, signal=31%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		192	0.30838665	1.3243967	0.028742515	0.079879716	0.894	2342	tags=24%, list=15%, signal=28%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		192	0.30892688	1.3228444	0.028151775	0.0781583	0.896	2121	tags=24%, list=13%, signal=27%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		71	0.343944	1.2927747	0.0945946	0.097115844	0.944	2850	tags=31%, list=18%, signal=38%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		111	0.3096085	1.2613848	0.10327456	0.12029424	0.977	4033	tags=26%, list=25%, signal=35%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		41	0.3614193	1.2135023	0.17577548	0.16768596	0.997	1384	tags=24%, list=9%, signal=27%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	0.34070867	1.1099541	0.30625	0.32037908	1.0	2313	tags=25%, list=15%, signal=29%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		98	0.2746766	1.081202	0.34093788	0.36797833	1.0	3169	tags=26%, list=20%, signal=32%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		181	0.24605808	1.0445998	0.38253382	0.4311475	1.0	2961	tags=22%, list=19%, signal=26%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		183	0.24024664	1.0293809	0.39294404	0.44983488	1.0	2178	tags=20%, list=14%, signal=23%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		96	0.2570414	1.0172186	0.4334239	0.46375877	1.0	4136	tags=30%, list=26%, signal=41%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		49	0.27885178	0.9920816	0.46601942	0.5063565	1.0	3872	tags=27%, list=24%, signal=35%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		155	0.22557133	0.9440624	0.56352204	0.5973393	1.0	2786	tags=21%, list=18%, signal=26%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		181	0.20851716	0.8875656	0.7135981	0.70038116	1.0	2959	tags=18%, list=19%, signal=21%	
