Gene.stable.ID,HGNC.symbol,Gene.stable.ID.1
ENSMUSG00000000731,AIRE,ENSG00000160224
ENSMUSG00000000732,,ENSG00000277117
ENSMUSG00000000732,ICOSLG,ENSG00000160223
ENSMUSG00000000738,SPG7,ENSG00000197912
ENSMUSG00000000739,SULT1A2,ENSG00000197165
ENSMUSG00000000739,SULT1A1,ENSG00000196502
ENSMUSG00000000739,SULT1A4,ENSG00000213648
ENSMUSG00000000739,SULT1A3,ENSG00000261052
ENSMUSG00000000740,RPL13,ENSG00000167526
ENSMUSG00000000743,CHMP1A,ENSG00000131165
ENSMUSG00000000751,RPA1,ENSG00000132383
ENSMUSG00000000753,SERPINF1,ENSG00000132386
ENSMUSG00000000759,TUBGCP3,ENSG00000126216
ENSMUSG00000000776,POLR3D,ENSG00000168495
ENSMUSG00000000782,TCF7,ENSG00000081059
ENSMUSG00000000787,DDX3X,ENSG00000215301
ENSMUSG00000000791,IL12RB1,ENSG00000096996
ENSMUSG00000000792,SLC5A5,ENSG00000105641
ENSMUSG00000000794,KCNN3,ENSG00000143603
ENSMUSG00000000804,USP6,ENSG00000129204
ENSMUSG00000000804,USP32,ENSG00000170832
ENSMUSG00000000805,CA4,ENSG00000167434
ENSMUSG00000000811,TXNRD3,ENSG00000197763
ENSMUSG00000000817,FASLG,ENSG00000117560
ENSMUSG00000000823,ZNF512B,ENSG00000196700
ENSMUSG00000000826,DNAJC5,ENSG00000101152
ENSMUSG00000000827,TPD52L2,ENSG00000101150
ENSMUSG00000000838,FMR1,ENSG00000102081
ENSMUSG00000000861,BCL11A,ENSG00000119866
ENSMUSG00000000869,IL4,ENSG00000113520
ENSMUSG00000000876,PXMP4,ENSG00000101417
ENSMUSG00000000881,DLG3,ENSG00000082458
ENSMUSG00000000884,GNB1L,ENSG00000185838
ENSMUSG00000000901,MMP11,ENSG00000099953
ENSMUSG00000000902,SMARCB1,ENSG00000099956
ENSMUSG00000000903,VPREB3,ENSG00000128218
ENSMUSG00000000915,HIP1R,ENSG00000130787
ENSMUSG00000000916,NSUN5,ENSG00000130305
ENSMUSG00000000934,TOP1MT,ENSG00000184428
ENSMUSG00000000938,HOXA10,ENSG00000253293
ENSMUSG00000000942,HOXA4,ENSG00000197576
ENSMUSG00000000948,SNURF,ENSG00000273173
ENSMUSG00000000948,,ENSG00000214265
ENSMUSG00000000957,MMP14,ENSG00000157227
ENSMUSG00000000958,SLC7A7,ENSG00000155465
ENSMUSG00000000959,OXA1L,ENSG00000155463
ENSMUSG00000000976,HEATR6,ENSG00000068097
ENSMUSG00000000982,CCL18,ENSG00000275385
ENSMUSG00000000982,CCL3,ENSG00000277632
ENSMUSG00000000982,CCL3L1,ENSG00000276085
ENSMUSG00000000982,CCL3L3,ENSG00000276085
ENSMUSG00000001014,ICAM4,ENSG00000105371
ENSMUSG00000001016,ILF2,ENSG00000143621
ENSMUSG00000001017,CHTOP,ENSG00000160679
ENSMUSG00000001018,SNAPIN,ENSG00000143553
ENSMUSG00000001020,S100A4,ENSG00000196154
ENSMUSG00000001021,S100A3,ENSG00000188015
ENSMUSG00000001023,S100A5,ENSG00000196420
ENSMUSG00000001025,S100A6,ENSG00000197956
ENSMUSG00000001027,SCN4A,ENSG00000007314
ENSMUSG00000001029,ICAM2,ENSG00000108622
ENSMUSG00000001034,MAPK7,ENSG00000166484
ENSMUSG00000001036,EPN2,ENSG00000072134
ENSMUSG00000001039,B9D1,ENSG00000108641
ENSMUSG00000001052,SEC24B,ENSG00000138802
ENSMUSG00000001053,N4BP3,ENSG00000145911
ENSMUSG00000001054,RMND5B,ENSG00000145916
ENSMUSG00000001056,NHP2,ENSG00000145912
ENSMUSG00000001062,VPS9D1,ENSG00000075399
ENSMUSG00000001065,ZNF276,ENSG00000158805
ENSMUSG00000001076,C1QL4,ENSG00000186897
ENSMUSG00000001082,MFSD10,ENSG00000109736
ENSMUSG00000001089,LUZP1,ENSG00000169641
ENSMUSG00000001095,SLC13A2,ENSG00000007216
ENSMUSG00000001098,KCTD10,ENSG00000110906
ENSMUSG00000001100,POLDIP2,ENSG00000004142
ENSMUSG00000001105,IFT20,ENSG00000109083
ENSMUSG00000001119,COL6A1,ENSG00000142156
ENSMUSG00000001120,PCBP3,ENSG00000183570
ENSMUSG00000001123,LGALS13,ENSG00000105198
ENSMUSG00000001123,LGALS16,ENSG00000249861
ENSMUSG00000001123,LGALS14,ENSG00000006659
ENSMUSG00000001127,ARAF,ENSG00000078061
ENSMUSG00000001128,CFP,ENSG00000126759
ENSMUSG00000001131,TIMP1,ENSG00000102265
ENSMUSG00000001134,UXT,ENSG00000126756
ENSMUSG00000001138,CNNM3,ENSG00000168763
ENSMUSG00000001143,LMAN2L,ENSG00000114988
ENSMUSG00000001150,MCM3AP,ENSG00000160294
ENSMUSG00000001151,PCNT,ENSG00000160299
ENSMUSG00000001155,FTCD,ENSG00000160282
ENSMUSG00000001156,MXD1,ENSG00000059728
ENSMUSG00000001157,GMCL1,ENSG00000087338
ENSMUSG00000001157,GMCL2,ENSG00000244234
ENSMUSG00000001158,SNRNP27,ENSG00000124380
ENSMUSG00000001166,OAS1,ENSG00000089127
ENSMUSG00000001168,OAS1,ENSG00000089127
ENSMUSG00000001173,OCRL,ENSG00000122126
ENSMUSG00000001175,CALM1,ENSG00000198668
ENSMUSG00000001211,AGPAT3,ENSG00000160216
ENSMUSG00000001227,SEMA6B,ENSG00000167680
ENSMUSG00000001228,UHRF1,ENSG00000276043
ENSMUSG00000001229,DPP9,ENSG00000142002
ENSMUSG00000001240,RAMP2,ENSG00000131477
ENSMUSG00000001247,LSR,ENSG00000105699
ENSMUSG00000001248,GRAMD1A,ENSG00000089351
ENSMUSG00000001249,HPN,ENSG00000105707
ENSMUSG00000001260,GABRG1,ENSG00000163285
ENSMUSG00000001270,CKB,ENSG00000166165
ENSMUSG00000001280,SP1,ENSG00000185591
ENSMUSG00000001281,ITGB7,ENSG00000139626
ENSMUSG00000001285,MYG1,ENSG00000139637
ENSMUSG00000001288,RARG,ENSG00000172819
ENSMUSG00000001289,PFDN5,ENSG00000123349
ENSMUSG00000001300,EFNB2,ENSG00000125266
ENSMUSG00000001305,RRP15,ENSG00000067533
ENSMUSG00000001313,RND2,ENSG00000108830
ENSMUSG00000001323,SRR,ENSG00000167720
ENSMUSG00000001333,SYNC,ENSG00000162520
ENSMUSG00000001334,FNDC5,ENSG00000160097
ENSMUSG00000001348,ACP5,ENSG00000102575
ENSMUSG00000001349,CNN1,ENSG00000130176
ENSMUSG00000001366,FBXO9,ENSG00000112146
ENSMUSG00000001376,VPS50,ENSG00000004766
ENSMUSG00000001380,HARS1,ENSG00000170445
ENSMUSG00000001383,ZMAT2,ENSG00000146007
ENSMUSG00000001403,UBE2C,ENSG00000175063
ENSMUSG00000001415,SMG5,ENSG00000198952
ENSMUSG00000001416,CCT3,ENSG00000163468
ENSMUSG00000001418,GLMP,ENSG00000198715
ENSMUSG00000001419,MEF2D,ENSG00000116604
ENSMUSG00000001420,TMEM79,ENSG00000163472
ENSMUSG00000001424,SND1,ENSG00000197157
ENSMUSG00000001435,COL18A1,ENSG00000182871
ENSMUSG00000001436,SLC19A1,ENSG00000173638
ENSMUSG00000001440,KPNB1,ENSG00000108424
ENSMUSG00000001441,NPEPPS,ENSG00000141279
ENSMUSG00000001444,TBX21,ENSG00000073861
ENSMUSG00000001445,MRPL10,ENSG00000159111
ENSMUSG00000001467,CYP51A1,ENSG00000001630
ENSMUSG00000001472,TCF25,ENSG00000141002
ENSMUSG00000001473,TUBB6,ENSG00000176014
ENSMUSG00000001482,DEF8,ENSG00000140995
ENSMUSG00000001493,MEOX1,ENSG00000005102
ENSMUSG00000001494,SOST,ENSG00000167941
ENSMUSG00000001496,NKX2-1,ENSG00000136352
ENSMUSG00000001497,PAX9,ENSG00000198807
ENSMUSG00000001504,IRX2,ENSG00000170561
ENSMUSG00000001506,COL1A1,ENSG00000108821
ENSMUSG00000001507,ITGA3,ENSG00000005884
ENSMUSG00000001508,SGCA,ENSG00000108823
ENSMUSG00000001510,DLX3,ENSG00000064195
ENSMUSG00000001517,FOXM1,ENSG00000111206
ENSMUSG00000001518,ITFG2,ENSG00000111203
ENSMUSG00000001520,NRIP2,ENSG00000053702
ENSMUSG00000001521,TULP3,ENSG00000078246
ENSMUSG00000001524,GTF2H4,ENSG00000213780
ENSMUSG00000001525,TUBB,ENSG00000196230
ENSMUSG00000001542,ELL2,ENSG00000118985
ENSMUSG00000001552,JUP,ENSG00000173801
ENSMUSG00000001555,FKBP10,ENSG00000141756
ENSMUSG00000001558,KLHL10,ENSG00000161594
ENSMUSG00000001569,NOM1,ENSG00000146909
ENSMUSG00000001576,ERGIC1,ENSG00000113719
ENSMUSG00000001583,TNK1,ENSG00000174292
ENSMUSG00000001588,ACAP1,ENSG00000072818
ENSMUSG00000001604,TCEA3,ENSG00000204219
ENSMUSG00000001622,CSN3,ENSG00000171209
ENSMUSG00000001627,IFRD1,ENSG00000006652
ENSMUSG00000001627,,ENSG00000288640
ENSMUSG00000001630,STK38L,ENSG00000211455
ENSMUSG00000001632,BRPF1,ENSG00000156983
ENSMUSG00000001642,AKR1B1,ENSG00000085662
ENSMUSG00000001657,HOXC8,ENSG00000037965
ENSMUSG00000001661,HOXC6,ENSG00000197757
ENSMUSG00000001666,DDTL,ENSG00000099974
ENSMUSG00000001666,DDT,ENSG00000099977
ENSMUSG00000001666,,ENSG00000285762
ENSMUSG00000001672,MARVELD3,ENSG00000140832
ENSMUSG00000001674,DDX18,ENSG00000088205
ENSMUSG00000001687,UBL3,ENSG00000122042
ENSMUSG00000001700,GRAMD2B,ENSG00000155324
ENSMUSG00000001707,EEF1E1-BLOC1S5,ENSG00000265818
ENSMUSG00000001707,EEF1E1,ENSG00000124802
ENSMUSG00000001729,AKT1,ENSG00000142208
ENSMUSG00000001739,CLDN15,ENSG00000106404
ENSMUSG00000001741,IL16,ENSG00000172349
ENSMUSG00000001750,TCIRG1,ENSG00000110719
ENSMUSG00000001751,NAGLU,ENSG00000108784
ENSMUSG00000001755,COASY,ENSG00000068120
ENSMUSG00000001761,SMO,ENSG00000128602
ENSMUSG00000001763,TSPAN33,ENSG00000158457
ENSMUSG00000001767,CRNKL1,ENSG00000101343
ENSMUSG00000001768,RIN2,ENSG00000132669
ENSMUSG00000001773,FOLH1,ENSG00000086205
ENSMUSG00000001774,CHORDC1,ENSG00000110172
ENSMUSG00000001783,RTCB,ENSG00000100220
ENSMUSG00000001785,PWP1,ENSG00000136045
ENSMUSG00000001786,FBXO7,ENSG00000100225
ENSMUSG00000001794,CAPNS1,ENSG00000126247
ENSMUSG00000001802,LRP3,ENSG00000130881
ENSMUSG00000001827,FOLR1,ENSG00000110195
ENSMUSG00000001829,CLPB,ENSG00000162129
ENSMUSG00000001833,SEPTIN7,ENSG00000122545
ENSMUSG00000001844,ZDHHC4,ENSG00000136247
ENSMUSG00000001847,RAC1,ENSG00000136238
ENSMUSG00000001855,NUP214,ENSG00000126883
ENSMUSG00000001864,AIF1L,ENSG00000126878
ENSMUSG00000001865,CPA3,ENSG00000163751
ENSMUSG00000001870,LTBP1,ENSG00000049323
ENSMUSG00000001891,UGP2,ENSG00000169764
ENSMUSG00000001901,KCNH6,ENSG00000173826
ENSMUSG00000001909,TRMT1,ENSG00000104907
ENSMUSG00000001910,NACC1,ENSG00000160877
ENSMUSG00000001911,NFIX,ENSG00000008441
ENSMUSG00000001918,SLC1A5,ENSG00000105281
ENSMUSG00000001924,UBA1,ENSG00000130985
ENSMUSG00000001930,VWF,ENSG00000110799
ENSMUSG00000001942,SIAE,ENSG00000110013
ENSMUSG00000001943,VSIG2,ENSG00000019102
ENSMUSG00000001946,ESAM,ENSG00000149564
ENSMUSG00000001948,SPA17,ENSG00000064199
ENSMUSG00000001964,EMD,ENSG00000102119
ENSMUSG00000001983,TACO1,ENSG00000136463
ENSMUSG00000001985,GRIK3,ENSG00000163873
ENSMUSG00000001986,GRIA3,ENSG00000125675
ENSMUSG00000001988,NPAS1,ENSG00000130751
ENSMUSG00000001995,SIPA1L2,ENSG00000116991
ENSMUSG00000001998,AP4E1,ENSG00000081014
ENSMUSG00000001999,BLVRA,ENSG00000106605
ENSMUSG00000002006,PDZD4,ENSG00000067840
ENSMUSG00000002007,SRPK3,ENSG00000184343
ENSMUSG00000002010,IDH3G,ENSG00000067829
ENSMUSG00000002012,PNCK,ENSG00000130822
ENSMUSG00000002014,SSR4,ENSG00000180879
ENSMUSG00000002015,BCAP31,ENSG00000185825
ENSMUSG00000002017,FAM98A,ENSG00000119812
ENSMUSG00000002020,LTBP2,ENSG00000119681
ENSMUSG00000002028,,ENSG00000285827
ENSMUSG00000002028,KMT2A,ENSG00000118058
ENSMUSG00000002031,IFT46,ENSG00000118096
ENSMUSG00000002032,TMEM25,ENSG00000149582
ENSMUSG00000002033,CD3G,ENSG00000160654
ENSMUSG00000002043,TRAPPC6A,ENSG00000007255
ENSMUSG00000002052,SUPT6H,ENSG00000109111
ENSMUSG00000002055,,ENSG00000258472
ENSMUSG00000002055,SPAG5,ENSG00000076382
ENSMUSG00000002057,FOXN1,ENSG00000109101
ENSMUSG00000002058,UNC119,ENSG00000109103
ENSMUSG00000002059,RAB34,ENSG00000109113
ENSMUSG00000002064,SDF2,ENSG00000132581
ENSMUSG00000002068,CCNE1,ENSG00000105173
ENSMUSG00000002076,HSF2BP,ENSG00000160207
ENSMUSG00000002100,MYBPC3,ENSG00000134571
ENSMUSG00000002102,PSMC3,ENSG00000165916
ENSMUSG00000002103,ACP2,ENSG00000134575
ENSMUSG00000002104,RAPSN,ENSG00000165917
ENSMUSG00000002105,SLC39A13,ENSG00000165915
ENSMUSG00000002107,CELF2,ENSG00000048740
ENSMUSG00000002108,NR1H3,ENSG00000025434
ENSMUSG00000002109,DDB2,ENSG00000134574
ENSMUSG00000002111,SPI1,ENSG00000066336
ENSMUSG00000002129,SF3A1,ENSG00000099995
ENSMUSG00000002147,STAT6,ENSG00000166888
ENSMUSG00000002190,CLGN,ENSG00000153132
ENSMUSG00000002204,NAPSA,ENSG00000131400
ENSMUSG00000002205,VRK3,ENSG00000105053
ENSMUSG00000002210,SMG9,ENSG00000105771
ENSMUSG00000002221,PAXIP1,ENSG00000157212
ENSMUSG00000002222,RMND5A,ENSG00000153561
ENSMUSG00000002227,MOV10,ENSG00000155363
ENSMUSG00000002228,PPM1J,ENSG00000155367
ENSMUSG00000002233,RHOC,ENSG00000155366
ENSMUSG00000002233,,ENSG00000271810
ENSMUSG00000002249,TEAD3,ENSG00000007866
ENSMUSG00000002250,PPARD,ENSG00000112033
ENSMUSG00000002257,DEF6,ENSG00000023892
ENSMUSG00000002265,PEG3,ENSG00000198300
ENSMUSG00000002274,METRN,ENSG00000103260
ENSMUSG00000002279,LMF1,ENSG00000103227
ENSMUSG00000002280,CIAO3,ENSG00000103245
ENSMUSG00000002289,ANGPTL4,ENSG00000167772
ENSMUSG00000002297,DBF4,ENSG00000006634
ENSMUSG00000002307,DAXX,ENSG00000204209
ENSMUSG00000002308,CD320,ENSG00000167775
ENSMUSG00000002319,IPO4,ENSG00000196497
ENSMUSG00000002320,,ENSG00000259522
ENSMUSG00000002320,TM9SF1,ENSG00000100926
ENSMUSG00000002320,,ENSG00000254692
ENSMUSG00000002324,REC8,ENSG00000100918
ENSMUSG00000002325,IRF9,ENSG00000213928
ENSMUSG00000002326,GMPR2,ENSG00000100938
ENSMUSG00000002332,DHRS1,ENSG00000157379
ENSMUSG00000002341,NCAN,ENSG00000130287
ENSMUSG00000002342,TMEM161A,ENSG00000064545
ENSMUSG00000002343,ARMC6,ENSG00000105676
ENSMUSG00000002345,BORCS8-MEF2B,ENSG00000064489
ENSMUSG00000002345,BORCS8,ENSG00000254901
ENSMUSG00000002346,SLC25A42,ENSG00000181035
ENSMUSG00000002365,SNX9,ENSG00000130340
ENSMUSG00000002372,RANBP3,ENSG00000031823
ENSMUSG00000002379,,ENSG00000267740
ENSMUSG00000002379,NDUFA11,ENSG00000174886
ENSMUSG00000002393,NR2F6,ENSG00000160113
ENSMUSG00000002395,USE1,ENSG00000053501
ENSMUSG00000002396,OCEL1,ENSG00000099330
ENSMUSG00000002409,DYRK1B,ENSG00000105204
ENSMUSG00000002413,BRAF,ENSG00000157764
ENSMUSG00000002416,NDUFB2,ENSG00000090266
ENSMUSG00000002428,HLTF,ENSG00000071794
ENSMUSG00000002455,PRPF6,ENSG00000101161
ENSMUSG00000002458,RGS19,ENSG00000171700
ENSMUSG00000002459,RGS20,ENSG00000147509
ENSMUSG00000002475,ABHD3,ENSG00000158201
ENSMUSG00000002477,SNRPD1,ENSG00000167088
ENSMUSG00000002489,TIAM1,ENSG00000156299
ENSMUSG00000002496,TSC2,ENSG00000103197
ENSMUSG00000002500,RPL3L,ENSG00000140986
ENSMUSG00000002504,SLC9A3R2,ENSG00000065054
ENSMUSG00000002524,PUF60,ENSG00000179950
ENSMUSG00000002550,UCK1,ENSG00000130717
ENSMUSG00000002565,SCIN,ENSG00000006747
ENSMUSG00000002578,IKZF4,ENSG00000123411
ENSMUSG00000002580,MIEN1,ENSG00000141741
ENSMUSG00000002588,PON1,ENSG00000005421
ENSMUSG00000002602,AXL,ENSG00000167601
ENSMUSG00000002603,TGFB1,ENSG00000105329
ENSMUSG00000002608,CCDC97,ENSG00000142039
ENSMUSG00000002625,AKAP8L,ENSG00000011243
ENSMUSG00000002633,SHH,ENSG00000164690
ENSMUSG00000002635,,ENSG00000266953
ENSMUSG00000002635,PDCD2L,ENSG00000126249
ENSMUSG00000002658,GTF2F1,ENSG00000125651
ENSMUSG00000002660,CLPP,ENSG00000125656
ENSMUSG00000002661,ALKBH7,ENSG00000125652
ENSMUSG00000002664,PSPN,ENSG00000125650
ENSMUSG00000002668,DENND1C,ENSG00000205744
ENSMUSG00000002679,MED6,ENSG00000133997
ENSMUSG00000002688,PRKD1,ENSG00000184304
ENSMUSG00000002699,LCP2,ENSG00000043462
ENSMUSG00000002718,CSE1L,ENSG00000124207
ENSMUSG00000002728,NAA20,ENSG00000173418
ENSMUSG00000002731,PRKRA,ENSG00000180228
ENSMUSG00000002732,FKBP7,ENSG00000079150
ENSMUSG00000002733,PLEKHA3,ENSG00000116095
ENSMUSG00000002741,YKT6,ENSG00000106636
ENSMUSG00000002748,BAZ1B,ENSG00000009954
ENSMUSG00000002763,PEX6,ENSG00000124587
ENSMUSG00000002767,MRPL2,ENSG00000112651
ENSMUSG00000002768,MEA1,ENSG00000124733
ENSMUSG00000002769,GNMT,ENSG00000124713
ENSMUSG00000002771,GRIN2D,ENSG00000105464
ENSMUSG00000002778,KDELR1,ENSG00000105438
ENSMUSG00000002781,TMEM143,ENSG00000161558
ENSMUSG00000002797,GGCT,ENSG00000006625
ENSMUSG00000002797,,ENSG00000281039
ENSMUSG00000002799,JAG2,ENSG00000184916
ENSMUSG00000002803,BTBD6,ENSG00000184887
ENSMUSG00000002804,NUDT14,ENSG00000183828
ENSMUSG00000002808,EPDR1,ENSG00000086289
ENSMUSG00000002812,FLII,ENSG00000177731
ENSMUSG00000002814,TOP3A,ENSG00000177302
ENSMUSG00000002820,ATG4D,ENSG00000130734
ENSMUSG00000002825,QTRT1,ENSG00000213339
ENSMUSG00000002831,PLIN4,ENSG00000167676
ENSMUSG00000002833,HDGFL2,ENSG00000167674
ENSMUSG00000002835,CHAF1A,ENSG00000167670
ENSMUSG00000002844,ADPRH,ENSG00000144843
ENSMUSG00000002845,TMEM39A,ENSG00000176142
ENSMUSG00000002846,TIMMDC1,ENSG00000113845
ENSMUSG00000002847,PLA1A,ENSG00000144837
ENSMUSG00000002870,MCM2,ENSG00000073111
ENSMUSG00000002871,TPRA1,ENSG00000163870
ENSMUSG00000002881,NAB1,ENSG00000138386
ENSMUSG00000002885,ADGRE5,ENSG00000123146
ENSMUSG00000002897,IL17RA,ENSG00000177663
ENSMUSG00000002900,LAMB1,ENSG00000091136
ENSMUSG00000002908,KCNN1,ENSG00000105642
ENSMUSG00000002910,ARRDC2,ENSG00000105643
ENSMUSG00000002944,CD36,ENSG00000135218
ENSMUSG00000002948,MAP2K7,ENSG00000076984
ENSMUSG00000002949,TIMM44,ENSG00000104980
ENSMUSG00000002957,AP2A2,ENSG00000183020
ENSMUSG00000002963,PNKP,ENSG00000039650
ENSMUSG00000002968,MED25,ENSG00000104973
ENSMUSG00000002980,BCAM,ENSG00000187244
ENSMUSG00000002981,CLPTM1,ENSG00000104853
ENSMUSG00000002983,RELB,ENSG00000104856
ENSMUSG00000002984,TOMM40,ENSG00000130204
ENSMUSG00000002985,APOE,ENSG00000130203
ENSMUSG00000002992,APOC2,ENSG00000234906
ENSMUSG00000002996,HBP1,ENSG00000105856
ENSMUSG00000002997,PRKAR2B,ENSG00000005249
ENSMUSG00000003031,CDKN1B,ENSG00000111276
ENSMUSG00000003032,KLF4,ENSG00000136826
ENSMUSG00000003033,AP1M1,ENSG00000072958
ENSMUSG00000003037,RAB8A,ENSG00000167461
ENSMUSG00000003039,FAM32A,ENSG00000105058
ENSMUSG00000003051,ELF3,ENSG00000163435
ENSMUSG00000003062,STARD3NL,ENSG00000010270
ENSMUSG00000003068,STK11,ENSG00000118046
ENSMUSG00000003070,EFNA2,ENSG00000099617
ENSMUSG00000003072,ATP5F1D,ENSG00000099624
ENSMUSG00000003099,PPP5C,ENSG00000011485
ENSMUSG00000003119,CDK12,ENSG00000167258
ENSMUSG00000003123,LIPE,ENSG00000079435
ENSMUSG00000003131,PAFAH1B2,ENSG00000168092
ENSMUSG00000003134,TBC1D8,ENSG00000204634
